Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
9464,Elizabeth C-1,Legacy Academy,Charter,Completed,School,2018/2019,139,Tdap,0.926,0.763,0.000,0.058,0.007,0.029,0.129,0.014
9466,Adams 12 Five Star Schools,Legacy High School,Regular,Completed,School,2018/2019,2401,Tdap,0.990,0.979,0.000,0.003,0.000,0.000,0.017,0.001
9467,Denver County 1,Legacy Options Hs,Alt. Ed,Completed,School,2018/2019,107,Tdap,0.860,0.925,0.000,0.037,0.000,0.037,0.000,0.000
9469,Douglas County RE 1,Legend High School,Regular,Completed,School,2018/2019,2383,Tdap,0.961,0.962,0.000,0.000,0.001,0.013,0.022,0.003
9473,Poudre R-1,Lesher Middle School,Regular,Completed,School,2018/2019,770,Tdap,0.997,0.949,0.013,0.001,0.001,0.001,0.031,0.003
9474,Adams County 14,Lester R Arnold High School,Alt. Ed,Completed,School,2018/2019,272,Tdap,0.967,0.978,0.000,0.011,0.000,0.011,0.000,0.000
9477,Lewis-Palmer 38,Lewis-palmer Elementary School,Regular,Completed,School,2018/2019,84,Tdap,0.959,0.881,0.012,0.048,0.000,0.000,0.060,0.000
9478,Lewis-Palmer 38,Lewis-palmer High School,Regular,Completed,School,2018/2019,1145,Tdap,0.984,0.962,0.000,0.004,0.000,0.002,0.031,0.001
9479,Lewis-Palmer 38,Lewis-palmer Middle School,Regular,Completed,School,2018/2019,891,Tdap,0.975,0.951,0.000,0.017,0.001,0.000,0.030,0.001
9480,Poudre R-1,Liberty Common Elementary School,Charter,Completed,School,2018/2019,86,Tdap,1.000,0.477,0.000,0.000,0.000,0.000,0.523,0.000
9481,Academy 20,Liberty High School,Regular,Completed,School,2018/2019,1594,Tdap,0.875,0.933,0.000,0.039,0.000,0.028,0.000,0.000
9482,Cherry Creek 5,Liberty Middle School,Regular,Completed,School,2018/2019,1161,Tdap,0.885,0.947,0.000,0.033,0.001,0.006,0.012,0.002
9484,Pueblo County 70,Liberty Point International School,Regular,Completed,School,2018/2019,496,Tdap,0.819,0.827,0.008,0.135,0.002,0.004,0.024,0.000
9485,Liberty J-4,Liberty School,Regular,Completed,School,2018/2019,25,Tdap,1.000,0.960,0.000,0.000,0.000,0.000,0.040,0.000
9486,Colorado Springs 11,Eastlake High School,Charter,Completed,School,2018/2019,266,Tdap,0.966,0.936,0.008,0.019,0.000,0.004,0.034,0.000
9488,Adams-Arapahoe 28J,Christ Our Redeemer Lutheran,Regular,Completed,School,2018/2019,,Tdap,1.000,0.250,0.000,0.000,0.000,0.250,0.500,0.000
